judul_berita,tanggal,website,data_cleansing,data_case_folding,tokens,stopword_removal,lemmatization,informal_to_formal_indo,informal_to_formal_indo_english
"Laksanakan Rapat Banggar, Irwan Hunawa Tegaskan Anggaran OPD Harus Miliki Manfaat Bagi Masyarakat",2024-11-23,https://read.id/laksanakan-rapat-banggar-irwan-hunawa-tegaskan-anggaran-opd-harus-miliki-manfaat-bagi-masyarakat/,Laksanakan Rapat Banggar  Irwan Hunawa Tegaskan Anggaran OPD Harus Miliki Manfaat Bagi Masyarakat,laksanakan rapat banggar  irwan hunawa tegaskan anggaran opd harus miliki manfaat bagi masyarakat,"['laksanakan', 'rapat', 'banggar', 'irwan', 'hunawa', 'tegaskan', 'anggaran', 'opd', 'harus', 'miliki', 'manfaat', 'bagi', 'masyarakat']","['laksanakan', 'rapat', 'banggar', 'irwan', 'hunawa', 'tegaskan', 'anggaran', 'opd', 'miliki', 'manfaat', 'masyarakat']","['laksanakan', 'rapat', 'banggar', 'irwan', 'hunawa', 'tegaskan', 'anggaran', 'opd', 'miliki', 'manfaat', 'masyarakat']",laksanakan rapat banggar irwan hunawa tegaskan anggaran opd miliki manfaat masyarakat,hold the Banggar Irwan Hunawa meeting emphasize the OPD budget has the benefit of the community
Bawaslu Kota Gorontalo Paparkan Persiapan Pengawasan Masa Tenang dan Laporan Dugaan Pelanggaran,2024-11-23,https://read.id/bawaslu-kota-gorontalo-paparkan-persiapan-pengawasan-masa-tenang-dan-laporan-dugaan-pelanggaran/,Bawaslu Kota Gorontalo Paparkan Persiapan Pengawasan Masa Tenang dan Laporan Dugaan Pelanggaran,bawaslu kota gorontalo paparkan persiapan pengawasan masa tenang dan laporan dugaan pelanggaran,"['bawaslu', 'kota', 'gorontalo', 'paparkan', 'persiapan', 'pengawasan', 'masa', 'tenang', 'dan', 'laporan', 'dugaan', 'pelanggaran']","['bawaslu', 'kota', 'gorontalo', 'paparkan', 'persiapan', 'pengawasan', 'tenang', 'laporan', 'dugaan', 'pelanggaran']","['bawaslu', 'kota', 'gorontalo', 'paparkan', 'persiapan', 'pengawasan', 'tenang', 'laporan', 'dugaan', 'pelanggaran']",bawaslu kota gorontalo paparkan persiapan pengawasan tenang laporan dugaan pelanggaran,"Gorontalo City Election Supervisory Body, Describe the preparation for a calm supervision report on the alleged violation report"
"Jika Terpilih, Haji Ramli: Demi Allah Saya tidak akan korupsi",2024-11-23,https://dulohupa.id/jika-terpilih-haji-ramli-demi-allah-saya-tidak-akan-korupsi/,Jika Terpilih  Haji Ramli  Demi Allah Saya tidak akan korupsi,jika terpilih  haji ramli  demi allah saya tidak akan korupsi,"['jika', 'terpilih', 'haji', 'ramli', 'demi', 'allah', 'saya', 'tidak', 'akan', 'korupsi']","['terpilih', 'haji', 'ramli', 'allah', 'korupsi']","['terpilih', 'haji', 'ramli', 'allah', 'korupsi']",terpilih haji ramli allah korupsi,elected Hajj Ramli Allah Corruption
Kapolri Beri Kenaikan Pangkat Anumerta ke AKP Ulil Ryanto Korban Penembakan,2024-11-23,https://dulohupa.id/kapolri-beri-kenaikan-pangkat-anumerta-ke-akp-ulil-ryanto-korban-penembakan/,Kapolri Beri Kenaikan Pangkat Anumerta ke AKP Ulil Ryanto Korban Penembakan,kapolri beri kenaikan pangkat anumerta ke akp ulil ryanto korban penembakan,"['kapolri', 'beri', 'kenaikan', 'pangkat', 'anumerta', 'ke', 'akp', 'ulil', 'ryanto', 'korban', 'penembakan']","['kapolri', 'kenaikan', 'pangkat', 'anumerta', 'akp', 'ulil', 'ryanto', 'korban', 'penembakan']","['kapolri', 'kenaikan', 'pangkat', 'anumerta', 'akp', 'ulil', 'ryanto', 'korban', 'penembakan']",kapolri kenaikan pangkat anumerta akp ulil ryanto korban penembakan,National Police Chief Promotion AKP AKP Ulil Ryanto Victim of the Shooting
KPU Pohuwato Tekankan Pentingnya Peran Kades untuk Sukseskan Pilkada,2024-11-23,https://dulohupa.id/kpu-pohuwato-tekankan-pentingnya-peran-kades-untuk-sukseskan-pilkada/,KPU Pohuwato Tekankan Pentingnya Peran Kades untuk Sukseskan Pilkada,kpu pohuwato tekankan pentingnya peran kades untuk sukseskan pilkada,"['kpu', 'pohuwato', 'tekankan', 'pentingnya', 'peran', 'kades', 'untuk', 'sukseskan', 'pilkada']","['kpu', 'pohuwato', 'tekankan', 'peran', 'kades', 'sukseskan', 'pilkada']","['kpu', 'pohuwato', 'tekankan', 'peran', 'kades', 'sukseskan', 'pilkada']",kpu pohuwato tekankan peran kades sukseskan pilkada,KPU Pohuwato emphasizes the role of the village head to succeed
KPU Boalemo Upayakan Semua APK Paslon sudah Ditertibkan Malam ini,2024-11-23,https://dulohupa.id/kpu-boalemo-upayakan-semua-apk-paslon-sudah-ditertibkan-malam-ini/,KPU Boalemo Upayakan Semua APK Paslon sudah Ditertibkan Malam ini,kpu boalemo upayakan semua apk paslon sudah ditertibkan malam ini,"['kpu', 'boalemo', 'upayakan', 'semua', 'apk', 'paslon', 'sudah', 'ditertibkan', 'malam', 'ini']","['kpu', 'boalemo', 'upayakan', 'apk', 'paslon', 'ditertibkan', 'malam']","['kpu', 'boalemo', 'upayakan', 'apk', 'paslon', 'ditertibkan', 'malam']",kpu boalemo upayakan apk paslon ditertibkan malam,KPU Boalemo Trying to APK Paslon Disclaimed Night
"Kampanye Terakhir, Idah Syahidah Dor to Dor ke Rumah Warga",2024-11-23,https://dulohupa.id/kampanye-terakhir-idah-syahidah-dor-to-dor-ke-rumah-warga/,Kampanye Terakhir  Idah Syahidah Dor to Dor ke Rumah Warga,kampanye terakhir  idah syahidah dor to dor ke rumah warga,"['kampanye', 'terakhir', 'idah', 'syahidah', 'dor', 'to', 'dor', 'ke', 'rumah', 'warga']","['kampanye', 'idah', 'syahidah', 'dor', 'to', 'dor', 'rumah', 'warga']","['kampanye', 'idah', 'syahidah', 'dor', 'to', 'dor', 'rumah', 'warga']",kampanye idah syahidah dor to dor rumah warga,Idah Syahidah Campaign Dor to Dor residents' homes
Fakultas Dokter UNG Lakukan Penelitian Manajemen Gizi dalam Situasi Bencana,2024-11-23,https://dulohupa.id/fakultas-dokter-ung-lakukan-penelitian-manajemen-gizi-dalam-situasi-bencana/,Fakultas Dokter UNG Lakukan Penelitian Manajemen Gizi dalam Situasi Bencana,fakultas dokter ung lakukan penelitian manajemen gizi dalam situasi bencana,"['fakultas', 'dokter', 'ung', 'lakukan', 'penelitian', 'manajemen', 'gizi', 'dalam', 'situasi', 'bencana']","['fakultas', 'dokter', 'ung', 'lakukan', 'penelitian', 'manajemen', 'gizi', 'situasi', 'bencana']","['fakultas', 'dokter', 'ung', 'lakukan', 'penelitian', 'manajemen', 'gizi', 'situasi', 'bencana']",fakultas dokter ung lakukan penelitian manajemen gizi situasi bencana,The Faculty of Doctors Ung conducted a Nutritional Management Research on the Situation of the Disaster
"Malam Ini, KPU Pohuwato Mulai Turunkan Alat Peraga Kampanye",2024-11-23,https://dulohupa.id/malam-ini-kpu-pohuwato-mulai-turunkan-alat-peraga-kampanye/,Malam Ini  KPU Pohuwato Mulai Turunkan Alat Peraga Kampanye,malam ini  kpu pohuwato mulai turunkan alat peraga kampanye,"['malam', 'ini', 'kpu', 'pohuwato', 'mulai', 'turunkan', 'alat', 'peraga', 'kampanye']","['malam', 'kpu', 'pohuwato', 'turunkan', 'alat', 'peraga', 'kampanye']","['malam', 'kpu', 'pohuwato', 'turunkan', 'alat', 'peraga', 'kampanye']",malam kpu pohuwato turunkan alat peraga kampanye,Pohuwato KPU Night Power Campaign Props
Bukti Kehebatan Hamzah Isa – Ustad Bahmid! Dukungan dari Produsen Mete Internasional hingga Pengusaha Kelapa Sawit,2024-11-23,https://habari.id/bukti-kehebatan-hamzah-isa-ustad-bahmid-dukungan-dari-produsen-mete-internasional-hingga-pengusaha-kelapa-sawit/,Bukti Kehebatan Hamzah Isa   Ustad Bahmid  Dukungan dari Produsen Mete Internasional hingga Pengusaha Kelapa Sawit,bukti kehebatan hamzah isa   ustad bahmid  dukungan dari produsen mete internasional hingga pengusaha kelapa sawit,"['bukti', 'kehebatan', 'hamzah', 'isa', 'ustad', 'bahmid', 'dukungan', 'dari', 'produsen', 'mete', 'internasional', 'hingga', 'pengusaha', 'kelapa', 'sawit']","['bukti', 'kehebatan', 'hamzah', 'isa', 'ustad', 'bahmid', 'dukungan', 'produsen', 'mete', 'internasional', 'pengusaha', 'kelapa', 'sawit']","['bukti', 'kehebatan', 'hamzah', 'isa', 'ustad', 'bahmid', 'dukungan', 'produsen', 'mete', 'internasional', 'pengusaha', 'kelapa', 'sawit']",bukti kehebatan hamzah isa ustad bahmid dukungan produsen mete internasional pengusaha kelapa sawit,proof of the greatness of Hamzah Isa Ustad Bahmid supporting the International Cashew producer of oil palm entrepreneurs
"Jelang HUT Ke 24 Tahun, Pemprov Rilis Logo HUT Provinsi Gorontalo",2024-11-23,https://habari.id/jelang-hut-ke-24-tahun-pemprov-rilis-logo-hut-provinsi-gorontalo/,Jelang HUT Ke  Tahun  Pemprov Rilis Logo HUT Provinsi Gorontalo,jelang hut ke  tahun  pemprov rilis logo hut provinsi gorontalo,"['jelang', 'hut', 'ke', 'tahun', 'pemprov', 'rilis', 'logo', 'hut', 'provinsi', 'gorontalo']","['jelang', 'hut', 'pemprov', 'rilis', 'logo', 'hut', 'provinsi', 'gorontalo']","['jelang', 'hut', 'pemprov', 'rilis', 'logo', 'hut', 'provinsi', 'gorontalo']",jelang hut pemprov rilis logo hut provinsi gorontalo,Ahead of the Provincial Government Anniversary Releases Gorontalo Province Anniversary Logo
KPU Boalemo : Pembersihan APK Paslon Dimulai Malam Ini,2024-11-23,https://habari.id/kpu-boalemo-pembersihan-apk-paslon-dimulai-malam-ini/,KPU Boalemo   Pembersihan APK Paslon Dimulai Malam Ini,kpu boalemo   pembersihan apk paslon dimulai malam ini,"['kpu', 'boalemo', 'pembersihan', 'apk', 'paslon', 'dimulai', 'malam', 'ini']","['kpu', 'boalemo', 'pembersihan', 'apk', 'paslon', 'malam']","['kpu', 'boalemo', 'pembersihan', 'apk', 'paslon', 'malam']",kpu boalemo pembersihan apk paslon malam,KPU Boalemo Cleaning Apk Paslon Night
"Sidodadi Jadi Titik Terakhir Kampanye Dewa, Masyarakat Membludak",2024-11-23,https://habari.id/sidodadi-jadi-titik-terakhir-kampanye-dewa-masyarakat-membludak/,Sidodadi Jadi Titik Terakhir Kampanye Dewa  Masyarakat Membludak,sidodadi jadi titik terakhir kampanye dewa  masyarakat membludak,"['sidodadi', 'jadi', 'titik', 'terakhir', 'kampanye', 'dewa', 'masyarakat', 'membludak']","['sidodadi', 'titik', 'kampanye', 'dewa', 'masyarakat', 'membludak']","['sidodadi', 'titik', 'kampanye', 'dewa', 'masyarakat', 'membludak']",sidodadi titik kampanye dewa masyarakat membludak,Sidodadi The Campaign Point of the Community Dewa Bloping
Idah Syahidah Tuntaskan Blusukan Dor to Dor,2024-11-23,https://habari.id/idah-syahidah-tuntaskan-blusukan-dor-to-dor/,Idah Syahidah Tuntaskan Blusukan Dor to Dor,idah syahidah tuntaskan blusukan dor to dor,"['idah', 'syahidah', 'tuntaskan', 'blusukan', 'dor', 'to', 'dor']","['idah', 'syahidah', 'tuntaskan', 'blusukan', 'dor', 'to', 'dor']","['idah', 'syahidah', 'tuntaskan', 'blusukan', 'dor', 'to', 'dor']",idah syahidah tuntaskan blusukan dor to dor,Idah Syahidah Complete Blusukan Dor to Dor
Indriani Dunda Terima Aspirasi Pembangunan Masjid dan Rukun Duka,2024-11-23,https://habari.id/indriani-dunda-terima-aspirasi-pembangunan-masjid-dan-rukun-duka/,Indriani Dunda Terima Aspirasi Pembangunan Masjid dan Rukun Duka,indriani dunda terima aspirasi pembangunan masjid dan rukun duka,"['indriani', 'dunda', 'terima', 'aspirasi', 'pembangunan', 'masjid', 'dan', 'rukun', 'duka']","['indriani', 'dunda', 'terima', 'aspirasi', 'pembangunan', 'masjid', 'rukun', 'duka']","['indriani', 'dunda', 'terima', 'aspirasi', 'pembangunan', 'masjid', 'rukun', 'duka']",indriani dunda terima aspirasi pembangunan masjid rukun duka,Indriani Dunda Receives Aspirations for the Construction of the Rukun Grief Mosque
Kampanye Monologis Hendra-Wasito : Bentuk Keseriusan Berjuang Raih Kemenangan,2024-11-23,https://pojok6.id/kampanye-monologis-hendra-wasito-bentuk-keseriusan-berjuang-raih-kemenangan/,Kampanye Monologis Hendra Wasito   Bentuk Keseriusan Berjuang Raih Kemenangan,kampanye monologis hendra wasito   bentuk keseriusan berjuang raih kemenangan,"['kampanye', 'monologis', 'hendra', 'wasito', 'bentuk', 'keseriusan', 'berjuang', 'raih', 'kemenangan']","['kampanye', 'monologis', 'hendra', 'wasito', 'bentuk', 'keseriusan', 'berjuang', 'raih', 'kemenangan']","['kampanye', 'monologis', 'hendra', 'wasito', 'bentuk', 'keseriusan', 'berjuang', 'raih', 'kemenangan']",kampanye monologis hendra wasito bentuk keseriusan berjuang raih kemenangan,Monological Campaign Hendra Wasito Forms The seriousness of struggling to win victory
"Kampanye Monologis Dihadiri Ribuan Warga, Pertanda Kemenangan Hendra – Wasito",2024-11-23,https://pojok6.id/kampanye-monologis-dihadiri-ribuan-warga-pertanda-kemenangan-hendra-wasito/,Kampanye Monologis Dihadiri Ribuan Warga  Pertanda Kemenangan Hendra   Wasito,kampanye monologis dihadiri ribuan warga  pertanda kemenangan hendra   wasito,"['kampanye', 'monologis', 'dihadiri', 'ribuan', 'warga', 'pertanda', 'kemenangan', 'hendra', 'wasito']","['kampanye', 'monologis', 'dihadiri', 'ribuan', 'warga', 'pertanda', 'kemenangan', 'hendra', 'wasito']","['kampanye', 'monologis', 'dihadiri', 'ribuan', 'warga', 'pertanda', 'kemenangan', 'hendra', 'wasito']",kampanye monologis dihadiri ribuan warga pertanda kemenangan hendra wasito,The monological campaign was attended by thousands of residents a sign of Hendra Wasito's victory
Pemprov Rilis Logo HUT ke-24 Provinsi Gorontalo,2024-11-23,https://berita.gorontaloprov.go.id/2024/11/23/pemprov-rilis-logo-hut-ke-24-provinsi-gorontalo/,Pemprov Rilis Logo HUT ke  Provinsi Gorontalo,pemprov rilis logo hut ke  provinsi gorontalo,"['pemprov', 'rilis', 'logo', 'hut', 'ke', 'provinsi', 'gorontalo']","['pemprov', 'rilis', 'logo', 'hut', 'provinsi', 'gorontalo']","['pemprov', 'rilis', 'logo', 'hut', 'provinsi', 'gorontalo']",pemprov rilis logo hut provinsi gorontalo,Provincial Government Releases Gorontalo Province Anniversary Logo
Pelajar Gorontalo Didorong Lanjut Studi ke Timur,2024-11-23,https://berita.gorontaloprov.go.id/2024/11/23/pelajar-gorontalo-didorong-lanjut-studi-ke-timur-tengah/,Pelajar Gorontalo Didorong Lanjut Studi ke Timur,pelajar gorontalo didorong lanjut studi ke timur,"['pelajar', 'gorontalo', 'didorong', 'lanjut', 'studi', 'ke', 'timur']","['pelajar', 'gorontalo', 'didorong', 'studi', 'timur']","['pelajar', 'gorontalo', 'didorong', 'studi', 'timur']",pelajar gorontalo didorong studi timur,Gorontalo Student Encouraged by East Study
"Hari Kedua Kunker di Gorontalo, Empat Dubes",2024-11-23,https://berita.gorontaloprov.go.id/2024/11/23/hari-kedua-kunker-di-gorontalo-empat-dubes-timur-tengah-kunjungi-man-ic/,Hari Kedua Kunker di Gorontalo  Empat Dubes,hari kedua kunker di gorontalo  empat dubes,"['hari', 'kedua', 'kunker', 'di', 'gorontalo', 'empat', 'dubes']","['kunker', 'gorontalo', 'dubes']","['kunker', 'gorontalo', 'dubes']",kunker gorontalo dubes,Gorontalo Kunker Ambassador
PW SI Gorontalo Diminta Fokus Pengembangan Dakwah dan Ekonomi Syariah,2024-11-23,https://www.hulondalo.id/news/96414009747/pw-si-gorontalo-diminta-fokus-pengembangan-dakwah-dan-ekonomi-syariah,PW SI Gorontalo Diminta Fokus Pengembangan Dakwah dan Ekonomi Syariah,pw si gorontalo diminta fokus pengembangan dakwah dan ekonomi syariah,"['pw', 'si', 'gorontalo', 'diminta', 'fokus', 'pengembangan', 'dakwah', 'dan', 'ekonomi', 'syariah']","['pw', 'si', 'gorontalo', 'fokus', 'pengembangan', 'dakwah', 'ekonomi', 'syariah']","['pw', 'si', 'gorontalo', 'fokus', 'pengembangan', 'dakwah', 'ekonomi', 'syariah']",pw si gorontalo fokus pengembangan dakwah ekonomi syariah,PW Si Gorontalo Focus on Developing Sharia Economic Da'wah
"HUT ke-53, Korpri Kota Gorontalo Gelar Ziarah Makam",2024-11-23,https://www.hulondalo.id/news/96414009686/hut-ke-53-korpri-kota-gorontalo-gelar-ziarah-makam,HUT ke   Korpri Kota Gorontalo Gelar Ziarah Makam,hut ke   korpri kota gorontalo gelar ziarah makam,"['hut', 'ke', 'korpri', 'kota', 'gorontalo', 'gelar', 'ziarah', 'makam']","['hut', 'korpri', 'kota', 'gorontalo', 'gelar', 'ziarah', 'makam']","['hut', 'korpri', 'kota', 'gorontalo', 'gelar', 'ziarah', 'makam']",hut korpri kota gorontalo gelar ziarah makam,Gorontalo City Korpri Anniversary Holds Tomb Pilgrimage
"Dubes Timur Tengah Kunjungi Gorontalo, Fokus Penguatan Kerja Sama Ekonomi",2024-11-23,https://www.hulondalo.id/news/96414009403/dubes-timur-tengah-kunjungi-gorontalo-fokus-penguatan-kerja-sama-ekonomi,Dubes Timur Tengah Kunjungi Gorontalo  Fokus Penguatan Kerja Sama Ekonomi,dubes timur tengah kunjungi gorontalo  fokus penguatan kerja sama ekonomi,"['dubes', 'timur', 'tengah', 'kunjungi', 'gorontalo', 'fokus', 'penguatan', 'kerja', 'sama', 'ekonomi']","['dubes', 'timur', 'kunjungi', 'gorontalo', 'fokus', 'penguatan', 'kerja', 'ekonomi']","['dubes', 'timur', 'kunjungi', 'gorontalo', 'fokus', 'penguatan', 'kerja', 'ekonomi']",dubes timur kunjungi gorontalo fokus penguatan kerja ekonomi,East Ambassador Visit Gorontalo Focus on Strengthening Economic Work
"Bangun Business Center, UBM Gorontalo Perkuat Reputasi Kampus Berbasis Kewirausahaan",2024-11-23,https://www.hulondalo.id/edukasi/96414008720/bangun-business-center-ubm-gorontalo-perkuat-reputasi-kampus-berbasis-kewirausahaan,Bangun Business Center  UBM Gorontalo Perkuat Reputasi Kampus Berbasis Kewirausahaan,bangun business center  ubm gorontalo perkuat reputasi kampus berbasis kewirausahaan,"['bangun', 'business', 'center', 'ubm', 'gorontalo', 'perkuat', 'reputasi', 'kampus', 'berbasis', 'kewirausahaan']","['bangun', 'business', 'center', 'ubm', 'gorontalo', 'perkuat', 'reputasi', 'kampus', 'berbasis', 'kewirausahaan']","['bangun', 'business', 'center', 'ubm', 'gorontalo', 'perkuat', 'reputasi', 'kampus', 'berbasis', 'kewirausahaan']",bangun business center ubm gorontalo perkuat reputasi kampus berbasis kewirausahaan,Building Business Center UBM Gorontalo Strengthening the Reputation of Entrepreneurship -Based Campus
PAW Anggota KPU Kabupaten Gorontalo Kadir Mertosono Resmi Dilantik,2024-11-23,https://www.hulondalo.id/news/96414009178/paw-anggota-kpu-kabupaten-gorontalo-kadir-mertosono-resmi-dilantik,PAW Anggota KPU Kabupaten Gorontalo Kadir Mertosono Resmi Dilantik,paw anggota kpu kabupaten gorontalo kadir mertosono resmi dilantik,"['paw', 'anggota', 'kpu', 'kabupaten', 'gorontalo', 'kadir', 'mertosono', 'resmi', 'dilantik']","['paw', 'anggota', 'kpu', 'kabupaten', 'gorontalo', 'kadir', 'mertosono', 'resmi', 'dilantik']","['paw', 'anggota', 'kpu', 'kabupaten', 'gorontalo', 'kadir', 'mertosono', 'resmi', 'dilantik']",paw anggota kpu kabupaten gorontalo kadir mertosono resmi dilantik,PAW Gorontalo Regency KPU Member Kadir Mertosono was officially inaugurated
Warga Gorontalo Diminta Fokus Jaga Kondusivitas Jelang Pilkada 2024,2024-11-23,https://www.hulondalo.id/news/96414009129/warga-gorontalo-diminta-fokus-jaga-kondusivitas-jelang-pilkada-2024,Warga Gorontalo Diminta Fokus Jaga Kondusivitas Jelang Pilkada ,warga gorontalo diminta fokus jaga kondusivitas jelang pilkada ,"['warga', 'gorontalo', 'diminta', 'fokus', 'jaga', 'kondusivitas', 'jelang', 'pilkada']","['warga', 'gorontalo', 'fokus', 'jaga', 'kondusivitas', 'jelang', 'pilkada']","['warga', 'gorontalo', 'fokus', 'jaga', 'kondusivitas', 'jelang', 'pilkada']",warga gorontalo fokus jaga kondusivitas jelang pilkada,Gorontalo residents focus on maintaining conducivity ahead of the elections
KPU Kota Gorontalo Matangkan Persiapan Distribusi Logistik Pilkada 2024,2024-11-23,https://www.hulondalo.id/news/96414008928/kpu-kota-gorontalo-matangkan-persiapan-distribusi-logistik-pilkada-2024,KPU Kota Gorontalo Matangkan Persiapan Distribusi Logistik Pilkada ,kpu kota gorontalo matangkan persiapan distribusi logistik pilkada ,"['kpu', 'kota', 'gorontalo', 'matangkan', 'persiapan', 'distribusi', 'logistik', 'pilkada']","['kpu', 'kota', 'gorontalo', 'matangkan', 'persiapan', 'distribusi', 'logistik', 'pilkada']","['kpu', 'kota', 'gorontalo', 'matangkan', 'persiapan', 'distribusi', 'logistik', 'pilkada']",kpu kota gorontalo matangkan persiapan distribusi logistik pilkada,Gorontalo City KPU Eat the preparation for the Logistics Distribution of the Pilkada
"Pemkot Gorontalo Bertekad Wujudkan Pilkada 2024 yang Damai, Berkualitas, dan Demokratis",2024-11-23,https://www.hulondalo.id/news/96414008872/pemkot-gorontalo-bertekad-wujudkan-pilkada-2024-yang-damai-berkualitas-dan-demokratis,Pemkot Gorontalo Bertekad Wujudkan Pilkada  yang Damai  Berkualitas  dan Demokratis,pemkot gorontalo bertekad wujudkan pilkada  yang damai  berkualitas  dan demokratis,"['pemkot', 'gorontalo', 'bertekad', 'wujudkan', 'pilkada', 'yang', 'damai', 'berkualitas', 'dan', 'demokratis']","['pemkot', 'gorontalo', 'bertekad', 'wujudkan', 'pilkada', 'damai', 'berkualitas', 'demokratis']","['pemkot', 'gorontalo', 'bertekad', 'wujudkan', 'pilkada', 'damai', 'berkualitas', 'demokratis']",pemkot gorontalo bertekad wujudkan pilkada damai berkualitas demokratis,Gorontalo City Government is determined to realize a Democratic Quality Peace Pilkada
Kolaborasi PKK dan Pemerintah Ditekankan Dalam Rakornas TP PKK 2024,2024-11-23,https://www.hulondalo.id/news/96414008846/kolaborasi-pkk-dan-pemerintah-ditekankan-dalam-rakornas-tp-pkk-2024,Kolaborasi PKK dan Pemerintah Ditekankan Dalam Rakornas TP PKK ,kolaborasi pkk dan pemerintah ditekankan dalam rakornas tp pkk ,"['kolaborasi', 'pkk', 'dan', 'pemerintah', 'ditekankan', 'dalam', 'rakornas', 'tp', 'pkk']","['kolaborasi', 'pkk', 'pemerintah', 'ditekankan', 'rakornas', 'tp', 'pkk']","['kolaborasi', 'pkk', 'pemerintah', 'ditekankan', 'rakornas', 'tp', 'pkk']",kolaborasi pkk pemerintah ditekankan rakornas tp pkk,Collaboration of the Government PKK is emphasized by the PKK TP Coordination Meeting
